,trmm,prism,chirps
2000-01-01,18406142.25,9672271.998046875,5169317.8125
2000-02-01,24384435.5625,12565568.28515625,6262928.7890625
2000-03-01,5805481.0078125,3262378.6904296875,1735536.5515136719
2000-04-01,6151835.5546875,2874059.34375,1695366.0461425781
2000-05-01,3447972.5390625,1836894.69140625,964632.0556640625
2000-06-01,1174162.2421875,652700.7308349609,287435.61767578125
2000-07-01,265003.84423828125,387316.78125,80055.61500549316
2000-08-01,247175.21044921875,181694.34494018555,128265.7260131836
2000-09-01,1712364.4453125,992448.1105957031,445975.2731323242
2000-10-01,7814588.15625,3994670.7158203125,1730280.0988769531
2000-11-01,3335833.1015625,1337301.1025390625,931302.0794677734
2000-12-01,3381875.7421875,1413519.9411621094,1117728.5375976562
2001-01-01,10932815.8125,5273174.2587890625,3062379.4262695312
2001-02-01,14320647.0,6721928.0625,3510050.0024414062
2001-03-01,6189032.8828125,3217688.3525390625,2264510.7202148438
2001-04-01,7002581.296875,3531893.0595703125,1728371.396484375
2001-05-01,280379.24853515625,253407.39862060547,299934.3374633789
2001-06-01,743786.58984375,623054.3294677734,253108.51959228516
2001-07-01,463718.396484375,439313.9040527344,119048.45764160156
2001-08-01,73845.27941894531,90420.09342956543,88989.45304870605
2001-09-01,987986.7421875,698108.2166748047,429940.20904541016
2001-10-01,2167846.640625,1178594.4689941406,916490.7623291016
2001-11-01,13356617.109375,6815889.4453125,4031139.4921875
2001-12-01,18667651.125,9772752.978515625,5149176.1376953125
2002-01-01,7519447.171875,3881540.1884765625,2319738.779296875
2002-02-01,4941076.828125,2395814.982421875,1339295.1342773438
2002-03-01,7390624.359375,4007299.611328125,2094311.1840820312
2002-04-01,3222443.3671875,1445985.0593261719,959476.1865234375
2002-05-01,2676317.0390625,1368474.5361328125,642202.5201416016
2002-06-01,288909.09814453125,198850.18817138672,159129.3489074707
2002-07-01,90313.48571777344,267146.28076171875,78521.90116882324
2002-08-01,32613.7529296875,60324.41523742676,85396.05514526367
2002-09-01,77814.4453125,207887.08520507812,195774.7348022461
2002-10-01,129617.65795898438,130225.51235961914,272855.18280029297
2002-11-01,10497785.8125,5387103.5654296875,2783298.8232421875
2002-12-01,24368791.3125,12909987.890625,6677718.779296875
2003-01-01,6405195.1875,3256609.7504882812,1895447.5085449219
2003-02-01,6512466.1171875,2950951.0078125,2126337.1508789062
2003-03-01,7506321.84375,4020171.2578125,2284288.4326171875
2003-04-01,13707829.40625,6889277.390625,2980362.7807617188
2003-05-01,4215061.546875,2087360.70703125,956355.3735351562
2003-06-01,173072.72094726562,150545.97061157227,145451.54022216797
2003-07-01,496901.56640625,378696.4671020508,123426.73461914062
2003-08-01,1734420.3515625,902853.8100585938,266803.05908203125
2003-09-01,308057.20751953125,283798.9782714844,259480.8984375
2003-10-01,165657.13916015625,110196.03625488281,297409.1354370117
2003-11-01,6600070.171875,3459731.7275390625,2217224.2163085938
2003-12-01,19922657.53125,10427784.732421875,5038252.7490234375
2004-01-01,7359734.296875,3912896.3671875,2113277.6440429688
2004-02-01,18854886.46875,9001569.36328125,4782125.8447265625
2004-03-01,2831401.265625,1602478.0026855469,1083378.7060546875
2004-04-01,1839618.80859375,891256.0217285156,654644.7894287109
2004-05-01,1814854.5234375,985685.080078125,551866.1096191406
2004-06-01,346430.9970703125,352694.98333740234,197790.7470703125
2004-07-01,146045.0244140625,202210.32147216797,84747.08015441895
2004-08-01,218817.8408203125,345968.53106689453,129763.66516113281
2004-09-01,345661.06640625,252183.2449951172,250028.91632080078
2004-10-01,11251147.453125,5764048.6845703125,2755268.49609375
2004-11-01,5107897.828125,2433499.2465820312,1551899.35546875
2004-12-01,15322177.03125,7383361.740234375,4069105.5615234375
2005-01-01,16306763.90625,8364873.685546875,3955335.41015625
2005-02-01,10026600.0,4407232.8193359375,2825696.4697265625
2005-03-01,12704115.140625,6670195.998046875,3366942.8466796875
2005-04-01,5775704.9765625,2839702.8720703125,1564258.6376953125
2005-05-01,10311524.25,5364146.2587890625,1961296.6625976562
2005-06-01,2468781.50390625,1509165.5793457031,322415.20294189453
2005-07-01,79378.58642578125,218453.4984741211,63216.47186279297
2005-08-01,225978.63427734375,249333.33197021484,113504.82833862305
2005-09-01,733422.9814453125,435690.85546875,326253.0990600586
2005-10-01,1982524.9921875,935767.0239257812,657051.5277099609
2005-11-01,6756385.96875,3239440.0869140625,1994352.0776367188
2005-12-01,27855881.25,13492799.0859375,7578705.322265625
2006-01-01,15430510.59375,8353915.9921875,3909361.7138671875
2006-02-01,9513489.796875,4195815.421875,2163206.5649414062
2006-03-01,19272962.15625,9518302.41796875,5008346.5283203125
2006-04-01,17468682.5625,8820796.646484375,3891358.4033203125
2006-05-01,2778002.671875,1383469.9614257812,675691.318359375
2006-06-01,496849.7197265625,379765.07794189453,208172.38861083984
2006-07-01,212507.16357421875,421459.6281738281,87530.63049316406
2006-08-01,105850.81127929688,144384.21633911133,91448.00148010254
2006-09-01,24825.72235107422,126106.31954956055,183220.00442504883
2006-10-01,1126564.69921875,515493.6804199219,441643.740234375
2006-11-01,6047427.796875,2972343.0966796875,2067651.1083984375
2006-12-01,10548706.921875,5237667.9345703125,2991206.953125
2007-01-01,2452022.02734375,1055115.2687988281,686009.6978759766
2007-02-01,16488188.4375,7767514.576171875,3901734.6240234375
2007-03-01,2198067.7265625,1236988.6450195312,1036524.5068359375
2007-04-01,4795969.078125,2164802.3598632812,1369620.263671875
2007-05-01,1436151.533203125,738218.9677734375,442456.1279296875
2007-06-01,646070.9384765625,512835.59619140625,219762.40859985352
2007-07-01,529238.1064453125,590311.3919677734,100302.6626586914
2007-08-01,205395.228515625,240460.81787109375,96324.78973388672
2007-09-01,1262205.375,627431.8348388672,427127.3336791992
2007-10-01,4429183.8515625,2230637.1650390625,1124978.49609375
2007-11-01,1824673.41796875,798372.8935546875,806449.0118408203
2007-12-01,10293355.5,5072725.0751953125,2531902.9760742188
2008-01-01,18845819.625,10199358.01171875,5342354.12109375
2008-02-01,7822944.1875,5558256.251953125,2334220.3051757812
2008-03-01,3662039.0625,848402.2917480469,866782.9321289062
2008-04-01,2451966.64453125,427116.83642578125,482802.37060546875
2008-05-01,2197134.78515625,1035200.9216308594,542934.7833251953
2008-06-01,540446.3525390625,94696.78944396973,152112.74185180664
2008-07-01,369229.51611328125,393128.1685180664,64808.06945800781
2008-08-01,421116.9609375,139349.5323486328,89820.48728942871
2008-09-01,423826.236328125,110968.63604736328,179104.1697692871
2008-10-01,3081311.625,1270016.3181152344,983084.5861816406
2008-11-01,8211213.5625,3681841.4677734375,2249185.927734375
2008-12-01,7205044.921875,4320738.26953125,1855293.9184570312
2009-01-01,6832405.453125,2844589.2583007812,1180728.0908203125
2009-02-01,13629000.9375,8000436.28125,4552435.8251953125
2009-03-01,7761790.40625,4458335.2119140625,2333701.494140625
2009-04-01,3663288.5625,1340081.4389648438,936116.748046875
2009-05-01,4424155.96875,2774999.4111328125,1226930.3137207031
2009-06-01,2451246.0703125,1130084.115234375,479110.1843261719
2009-07-01,228705.14208984375,154947.02536010742,66865.52558898926
2009-08-01,378585.75,267518.3706665039,124374.75677490234
2009-09-01,677149.611328125,153183.54959106445,208670.24002075195
2009-10-01,6494679.0703125,3818643.52734375,1616803.2971191406
2009-11-01,4266319.3359375,1320946.6809082031,1059922.08984375
2009-12-01,9185515.96875,5363459.30859375,2762651.5063476562
2010-01-01,14877433.125,9350957.765625,5068943.203125
2010-02-01,11474127.421875,5756282.9912109375,3329503.7622070312
2010-03-01,6302637.375,3493749.984375,2024110.48828125
2010-04-01,9614037.09375,6033450.4453125,2971499.3994140625
2010-05-01,3227880.64453125,2140717.2158203125,841554.9792480469
2010-06-01,701994.3310546875,563058.8444824219,221759.46212768555
2010-07-01,164790.462890625,139038.83642578125,72917.60673522949
2010-08-01,314839.7841796875,322478.5506591797,115716.99829101562
2010-09-01,581440.5908203125,398158.50549316406,241584.1030883789
2010-10-01,7361429.25,4855990.1455078125,2128079.5385742188
2010-11-01,8265241.6875,4803502.1630859375,2805525.9594726562
2010-12-01,19515924.5625,13420631.51953125,6752492.5048828125
2011-01-01,6198115.265625,2374354.8999023438,1615620.1354980469
2011-02-01,9616901.859375,5836334.7041015625,2710678.447265625
2011-03-01,16148456.71875,11900774.279296875,5843258.115234375
2011-04-01,3286745.6015625,1850421.1420898438,1056185.9692382812
2011-05-01,4143347.578125,2835060.7954101562,1180756.9262695312
2011-06-01,3803850.9375,2418585.0629882812,499666.73767089844
2011-07-01,371918.72021484375,300793.20263671875,67844.10736083984
2011-08-01,183826.07592773438,196929.84237670898,85625.02166748047
2011-09-01,508628.77734375,342824.62829589844,303320.09033203125
2011-10-01,4306647.5859375,2611927.6435546875,1181307.4108886719
2011-11-01,5897690.203125,2025674.4887695312,1689228.75
2011-12-01,2838682.3125,268211.7257080078,465020.5480957031
2012-01-01,10477060.6875,5166744.1259765625,2883637.3315429688
2012-02-01,4935971.6484375,1656502.271484375,1318569.5983886719
2012-03-01,11562805.265625,8144707.51171875,4079817.36328125
2012-04-01,7076554.40625,4938583.1455078125,2378224.3359375
2012-05-01,980927.126953125,468909.69982910156,345066.8957519531
2012-06-01,807186.76171875,685033.1737060547,284418.5952758789
2012-07-01,220504.40185546875,122303.92309570312,68774.36279296875
2012-08-01,236484.0615234375,197168.27069091797,98375.52658081055
2012-09-01,347787.65185546875,76817.48474121094,210065.38192749023
2012-10-01,2433334.7109375,1439164.166015625,810049.6966552734
2012-11-01,11185410.046875,6084017.0712890625,3623202.5756835938
2012-12-01,15887652.28125,11792211.2109375,5576158.7548828125
2013-01-01,4461364.453125,1454736.85546875,1238112.451171875
2013-02-01,3587020.453125,782243.4451904297,652448.1298828125
2013-03-01,6181611.984375,2158524.3442382812,1602205.634765625
2013-04-01,3496397.8359375,1341591.2292480469,842108.2452392578
2013-05-01,1786779.8203125,968112.9096679688,618323.5894775391
2013-06-01,1229419.1484375,1184232.3896484375,376847.70446777344
2013-07-01,227929.68310546875,301443.8424682617,113906.31088256836
2013-08-01,319364.16650390625,259961.5288696289,158188.9471435547
2013-09-01,1503448.921875,1127479.705078125,479542.43225097656
2013-10-01,1263741.251953125,593002.0118408203,451385.21209716797
2013-11-01,4115592.8203125,1332767.8352050781,1070696.3305664062
2013-12-01,3285943.546875,670933.7449951172,498251.0192871094
2014-01-01,3739475.390625,933198.3640136719,856380.7141113281
2014-02-01,14488636.21875,6533218.5966796875,3841044.8583984375
2014-03-01,8284999.40625,5920499.5458984375,3196639.775390625
2014-04-01,3576915.6796875,2343035.3481445312,1288112.8930664062
2014-05-01,1254122.07421875,613847.3265380859,445329.4839477539
2014-06-01,309867.70751953125,256094.07330322266,172741.05743408203
2014-07-01,264481.1689453125,441955.81787109375,98418.46046447754
2014-08-01,566755.5791015625,473714.4060058594,207003.87176513672
2014-09-01,2162315.53125,1041815.3012695312,498588.4167480469
2014-10-01,2936512.86328125,1753875.0263671875,796376.0174560547
2014-11-01,6569879.3671875,3292143.9345703125,2001670.1513671875
2014-12-01,16810596.09375,10358369.642578125,5820534.873046875
2015-01-01,3342934.8515625,387200.98260498047,644633.3258056641
2015-02-01,8929967.71875,4469769.8349609375,2040749.9047851562
2015-03-01,3696334.171875,761785.1000976562,987923.4924316406
2015-04-01,4522142.109375,1967546.5400390625,1250873.4997558594
2015-05-01,2001787.8515625,1331926.4868164062,695465.4547119141
2015-06-01,746532.8203125,402733.92791748047,269859.2477416992
2015-07-01,906706.08984375,952829.5341796875,224601.17294311523
2015-08-01,244478.58544921875,144436.63623046875,134905.74096679688
2015-09-01,639417.5302734375,391104.2614746094,296719.4970703125
2015-10-01,2191143.28125,1165253.3935546875,778719.2431640625
2015-11-01,6575487.375,3515575.3623046875,1828063.6047363281
2015-12-01,11264632.171875,7432268.07421875,4086740.595703125
