Station,ID,Elev (feet),Latitude,Longitude,County,River Basin,
ABBEY,ABY,5650,39.955,-120.538,PLUMAS,FEATHER R,
ADIN MOUNTAIN,ADI,6200,41.237,-120.793,MODOC,PIT R,
ADIN RS,ADN,4195,41.194,-120.944,MODOC,PIT R,
AGNEW PASS,AGP,9450,37.72663,-119.14173,MADERA,SAN JOAQUIN R,
ALPHA,APH,7600,38.804138,-120.215645,EL DORADO,AMERICAN R,
ALPINE LAKE,APN,654,37.94,-122.637,MARIN,COAST-MARIN,
ALTURAS RS,ALT,4400,41.5,-120.55,MODOC,PIT R,
AMERICAN R AT FOLSOM,AMF,0,38.683,-121.183,SACRAMENTO,AMERICAN R,
AMERICAN RIVER PUMP STATION,APS,480,38.9,-121.1,SACRAMENTO,AMERICAN R,
ANGWIN PACIFIC UNION COL,APU,1815,38.5731,-122.4406,NAPA,NAPA R,
ANTELOPE LAKE,ANT,4960,40.18,-120.607,PLUMAS,FEATHER R,
ANTELOPE RIDGE,ANR,5650,40.155,-120.542,PLUMAS,FEATHER R,
ANTELOPE SPRINGS,ATS,4350,38.503,-120.467,AMADOR,MOKELUMNE R,
ANTHONY PEAK,ATP,6200,39.842,-122.95,TEHAMA,STONY CR,
ARROYO SECO (PASADENA),ASP,1398,34.222,-118.177,LOS ANGELES,LOS ANGELES R,
ARROYO SECO NR SOLEDAD,ASS,399,36.280521,-121.322708,MONTEREY,SALINAS R,
ARROYO VALLE NR LIVERMORE,AVL,510,37.623264,-121.758842,ALAMEDA,EAST BAY,
ASH CREEK,ASH,5000,41.4,-122.05,SISKIYOU,MC CLOUD R,
ASH MOUNTAIN,ASM,1708,36.483,-118.833,TULARE,KAWEAH R,
ATWELL CAMP,ATW,6400,36.464,-118.631,TULARE,KAWEAH R,
AUBERRY 2 NW,ABR,2090,37.083,-119.5,FRESNO,SAN JOAQUIN R,
AUBURN,AUB,1292,38.917,-121.083,PLACER,AMERICAN R,
BADGER FLAT,BDF,8300,37.265,-119.108,FRESNO,SAN JOAQUIN R,
BAKERSFIELD AIRPORT,BFK,494,35.434,-119.054,KERN,TULARE LAKE,
BALCH PH (PG&E),BAL,1720,36.909,-119.089,FRESNO,KINGS R,
BANGOR CANAL,BNG,815,39.504,-121.454,BUTTE,FEATHER R,
BARRETT,BRT,1607,32.678,-116.669,SAN DIEGO,SAN DIEGO R,
BARSTOW,BFS,2320,34.9,-117.017,SAN BERNARDINO,MOJAVE R,
BEACH MEADOWS,BHM,7650,36.122,-118.293,TULARE,KERN R,
BEAR BASIN,BBS,6500,40.967,-122.867,TRINITY,TRINITY R,
BEAR RIVER AT CAMP FAR WEST DAM,CFW,260,39.05,-121.317,YUBA,BEAR R,
BEAR TRAP MEADOW,BRM,6800,36.676,-118.858,TULARE,KAWEAH R,
BEAR VALLEY DAM,BRV,6743,34.242,-116.978,SAN BERNARDINO,SANTA ANA R,
BEAR VALLEY RIDGE 1,BV1,6700,38.618,-120.228,AMADOR,MOKELUMNE R,
BEARD MEADOW,BMD,9800,37.113,-118.837,FRESNO,KINGS R,
BEARDSLEY LAKE,BRD,3398,38.203,-120.075,TUOLUMNE,STANISLAUS R,
BEEHIVE MEADOW,BHV,6500,37.995,-119.78,TUOLUMNE,TUOLUMNE R,
BELL MEADOW,BEM,6500,38.167,-119.942,TUOLUMNE,TUOLUMNE R,
BENCH LAKE,BNH,10600,36.958,-118.445,FRESNO,KINGS R,
BERRYESSA,BER,456,38.513,-122.104,NAPA,PUTAH CR,
BIG BAR,BGB,1270,40.733,-123.2,TRINITY,TRINITY R,
BIG BEAR LAKE,BBE,6790,34.247,-116.891,SAN BERNARDINO,SANTA ANA R,
BIG CREEK 1,BGC,4878,37.205,-119.24,FRESNO,SAN JOAQUIN R,
BIG FLAT (COURSE),BFT,5100,41.077,-122.938,TRINITY,TRINITY R,
BIG MEADOW,BGM,6550,38.417,-120.113,CALAVERAS,STANISLAUS R,
BIG MEADOWS,BMS,7600,36.715,-118.842,TULARE,KINGS R,
BIG PINE CREEK 1,BP1,10000,37.125,-118.483,INYO,OWENS R,
BIG PINE CREEK 2,BP2,9700,37.127,-118.47,INYO,OWENS R,
BIG PINE CREEK 3,BP3,9800,37.128,-118.475,INYO,OWENS R,
BIG SUR STATE PARK,BGS,240,36.247,-121.811,MONTEREY,SALINAS R,
BIG WHITNEY MEADOW,BWH,9750,36.44,-118.255,TULARE,KERN R,
BIGHORN PLATEAU,BGH,11350,36.615,-118.377,TULARE,KERN R,
BISHOP,BIS,4140,37.35,-118.4,INYO,OWENS R,
BISHOP LAKE,BSP,11300,37.123,-118.545,INYO,OWENS R,
BISHOP PASS,BSH,11200,37.1,-118.557,FRESNO,KINGS R,
BLACK BUTTE,BLB,426,39.808,-122.329,TEHAMA,STONY CR,
BLACK SPRINGS,BLS,6500,38.375,-120.192,CALAVERAS,STANISLAUS R,
BLACKCAP BASIN,BCB,10300,37.06668,-118.77301,FRESNO,KINGS R,
BLACKS MOUNTAIN,BMN,6700,40.762,-121.195,LASSEN,PIT R,
BLOODS CREEK,BLD,7200,38.45,-120.033,ALPINE,STANISLAUS R,
BLUE CANYON,BLC,5280,39.28011,-120.70871,PLACER,AMERICAN R,
BLUE CANYON (DWR-2),BYM,5280,39.283,-120.7,PLACER,AMERICAN R,
BLUE LAKE RANCH,BLU,6800,41.15,-120.25,LASSEN,PIT R,
BLUE LAKES,BLK,8000,38.613,-119.931,ALPINE,MOKELUMNE R,
BLYTHE,BLY,390,33.617,-114.717,RIVERSIDE,COLORADO R,
BOCA,BCA,5575,39.383,-120.1,NEVADA,TRUCKEE R,
BOCA RESERVOIR,BOC,5521,39.383,-120.1,NEVADA,TRUCKEE R,
BODIE,BDE,8370,38.217,-119.017,MONO,WALKER R,
BOND PASS,BNP,9300,38.178,-119.623,TUOLUMNE,TUOLUMNE R,
BONITA MEADOWS,BNM,8300,36.038,-118.328,TULARE,KERN R,
BOWMAN,BOW,5385,39.45,-120.65,NEVADA,YUBA R,
BOWMAN LAKE,BOL,5390,39.4481,-120.6536,NEVADA,YUBA R,
BOWMAN LAKE,BOM,5650,39.458,-120.6,NEVADA,YUBA R,
BOWMAN LAKE,BWN,5566,39.45,-120.652,NEVADA,YUBA R,
BOX CAMP,BXC,6450,41.597,-123.165,SISKIYOU,SCOTT R,
BREWER CREEK,BWR,6250,41.435,-122.1,SISKIYOU,MC CLOUD R,
BRIDGEPORT,BPT,6650,38.272,-119.289,MONO,WALKER R,
BRIDGEPORT R S,BDG,6470,38.25,-119.233,MONO,WALKER R,
BRIDGEPORT RESERVOIR,BDP,6466,38.325,-119.211,MONO,WALKER R,
BRIONES DAM,BIO,588,37.9151,-122.207,CONTRA COSTA,EAST BAY,
BROWNS CAMP,BCP,5400,39.9,-121.257,PLUMAS,FEATHER R,
BRUSH CREEK (DWR-2),BCM,3560,39.694,-121.34,BUTTE,FEATHER R,
BUCHANAN DAM,BUC,450,37.213,-119.97,MADERA,CHOWCHILLA R,
BUCKS CREEK POWERHOUSE,BUP,1760,39.917,-121.333,PLUMAS,FEATHER R,
BUCKS LAKE STORAGE,BCL,5168,39.897,-121.202,PLUMAS,FEATHER R,
BULLFROG LAKE,BLF,10650,36.77,-118.398,FRESNO,KINGS R,
BURNEY SPRINGS,BNS,4700,40.78,-121.617,SHASTA,PIT R,
BUTT VALLEY,BTV,4144,40.187,-121.186,PLUMAS,FEATHER R,
CACHUMA LAKE,CCH,781,34.583,-119.98,SANTA BARBARA,SANTA YNEZ R,
CALAVERAS,CVE,775,37.492,-121.818,ALAMEDA,ALAMEDA CR,
CALAVERAS BIG TREES,CVT,4695,38.283,-120.317,CALAVERAS,STANISLAUS R,
CALLAHAN,CAL,3185,41.317,-122.8,SISKIYOU,SCOTT R,
CAMANCHE RESERVOIR,CMN,236,38.225,-121.021,SAN JOAQUIN,MOKELUMNE R,
CAMINO CONDUIT,CCN,9999,38.714,-120.563,EL DORADO,AMERICAN R,
CAMP PARDEE,CPD,658,38.25,-120.867,CALAVERAS,MOKELUMNE R,
CAMPTONVILLE (DWR),CAM,2755,39.451,-121.049,YUBA,YUBA R,
CANYON DAM,CNY,4560,40.167,-121.083,PLUMAS,FEATHER R,
CAPLES (TWIN) LAKE,CPT,8000,38.7,-120.033,ALPINE,AMERICAN R,
CAPLES LAKE,CAP,8000,38.71,-120.042,ALPINE,AMERICAN R,
CAPLES LAKE (EID),CPL,7800,38.707,-120.048,ALPINE,AMERICAN R,
CARIBOU PH,CBO,2986,40.085,-121.15,PLUMAS,FEATHER R,
CASA VIEJA MEADOWS,CSV,8300,36.1981,-118.26768,TULARE,KERN R,
CASCADE DITCH,CSD,9999,39.01,-121.06,NEVADA,YUBA R,
CASITAS,CSI,335,34.373,-119.332,VENTURA,VENTURA R,
CASTAIC,CAS,1535,34.5152,-118.6101,LOS ANGELES,SANTA CLARA R,
CASTLE CREEK 5,CC5,7400,39.353,-120.353,NEVADA,YUBA R,
CEDAR PASS,CDP,7100,41.583,-120.303,MODOC,PIT R,
CEDAR SPRINGS,CDS,6500,34.355,-117.883,none specified,MOJAVE DESERT,
CEDARVILLE,CDV,4670,41.533,-120.167,MODOC,SURPRISE VALLEY,
CHABOT,CHB,250,37.73,-122.122,ALAMEDA,ALAMEDA CR,
CHALK BLUFF,CHK,4850,39.305,-120.81,NEVADA,YUBA R,
CHAPMAN CREEK,CMC,5850,39.633,-120.533,SIERRA,YUBA R,
CHARLOTTE RIDGE,CLT,10700,36.77,-118.415,FRESNO,KINGS R,
CHERRY LAKE,CHY,4715,37.976,-119.913,TUOLUMNE,TUOLUMNE R,
CHERRY VALLEY DAM,CVD,4765,37.967,-119.917,TUOLUMNE,TUOLUMNE R,
CHESTER,CHS,4525,40.283,-121.233,PLUMAS,FEATHER R,
CHESTER FLAT,CHF,4600,40.283,-121.25,PLUMAS,FEATHER R,
CHICO UNIV FARM,CES,185,39.7,-121.817,BUTTE,SACTO VLY NE,
CHILKOOT LAKE,CKT,7450,37.408,-119.48,MADERA,SAN JOAQUIN R,
CHILKOOT MEADOW,CHM,7150,37.41,-119.49,MADERA,SAN JOAQUIN R,
CHINA LAKE ARMITAGE,CNL,2220,35.683,-117.683,KERN,CHINA LAKE,
CHIQUITO CREEK,CHQ,6800,37.498,-119.408,MADERA,SAN JOAQUIN R,
CHURCH MEADOWS,CHU,6700,39.682,-120.623,SIERRA,FEATHER R,
CISCO,CCO,5900,39.303,-120.543,PLACER,YUBA R,
CLARK FORK MEADOW,CFM,8900,38.362,-119.68,ALPINE,STANISLAUS R,
CLEAR LK - CACHE CREEK,CLA,1336,38.957,-122.642,LAKE,CACHE CR,
CLEAR LK - KLAMATH R,CLK,4552,41.927,-121.075,MODOC,KLAMATH R,
CLOVER MEADOW,CLM,7000,37.528,-119.275,MADERA,SAN JOAQUIN R,
COALINGA,CLN,670,36.136,-120.361,FRESNO,SAN JOAQUIN R,
COFFEE CREEK RANGER STATION,CFF,2503,41.0894,-122.7086,TRINITY,TRINITY R,
COGSWELL RESERVOIR,CGS,2405,34.245,-117.965,LOS ANGELES,SAN GABRIEL R,
COLBY MEADOW,CBM,9700,37.178,-118.72,FRESNO,SAN JOAQUIN R,
COLFAX,CLF,2400,39.122,-120.951,PLACER,AMERICAN R,
COLORADO R-LEES FERY,CLD,9999,36.865,-111.588,none specified,COLORADO R,
CORA LAKES,CRA,8400,37.598,-119.267,MADERA,SAN JOAQUIN R,
CORRAL FLAT,CRF,7200,38.625,-120.218,EL DORADO,MOKELUMNE R,
CORRAL MEADOW,CRM,6650,38.398,-120.04,TUOLUMNE,STANISLAUS R,
COSUMNES R AT MICHIGAN BAR,CSN,168,38.5,-121.044,SACRAMENTO,COSUMNES R,
COTTONWOOD GATES,CTT,3775,36.417,-118.033,INYO,OWENS R,
COTTONWOOD LAKES 1,CW1,10150,36.483,-118.177,INYO,OWENS R,
COTTONWOOD PASS,CWP,11050,36.45,-118.217,TULARE,KERN R,
COURTRIGHT,CUR,8350,37.072,-118.965,FRESNO,KINGS R,
COURTRIGHT (PG&E),CTG,8192,37.072,-118.967,FRESNO,KINGS R,
COVELO 1 NNE,COV,1514,39.833,-123.083,MENDOCINO,EEL R,
COYOTE LAKE,CYT,8850,37.208,-119.073,FRESNO,SAN JOAQUIN R,
COYOTE RES-STA CLARA,CYC,755,37.118,-121.549,SANTA CLARA,SANTA CLARA VLY,
CRABTREE MEADOW,CBT,10700,36.563683,-118.347946,TULARE,KERN R,
CRANE VALLEY,CNV,3380,37.283,-119.517,MADERA,SAN JOAQUIN R,
CRANE VALLEY RESERVOIR (PG&E),CRR,3400,37.291,-119.526,MADERA,SAN JOAQUIN R,
CRESCENT CITY MC NAMARA FIELD,CEC,56,41.78,-124.24,DEL NORTE,SMITH R,
CROOKED CREEK (LONG VALLEY),CRC,6800,37.583,-118.7,MONO,OWENS R,
CUYAMACA DAM,CUY,4641,32.99,-116.587,SAN DIEGO,SAN DIEGO R,
D S CANAL,DCN,2900,39.26,-120.96,NEVADA,YUBA R,
DANA MEADOWS,DAN,9800,37.897,-119.257,TUOLUMNE,TUOLUMNE R,
DAVIS 2WSW,DVS,60,38.533,-121.767,SACRAMENTO,SACTO VLY WEST,
DE SABLA (PG&E),DSB,2710,39.867,-121.617,BUTTE,BUTTE CR,
DEAD HORSE CANYON,DHC,4500,41.208,-121.775,SISKIYOU,MC CLOUD R,
DEAD HORSE MEADOW,DHM,7300,35.873,-118.587,TULARE,KERN R,
DEADFALL LAKES,DDF,7200,41.318,-122.503,TRINITY,TRINITY R,
DEADMAN CREEK,DDM,9250,38.331596,-119.654114,TUOLUMNE,STANISLAUS R,
DEATH VALLEY,DTV,-194,36.467,-116.867,INYO,AMARGOSA R,
DEER CK FOREBAY (PG&E),DRC,4455,39.3,-120.825,NEVADA,YUBA R,
DEER CREEK NR SMARTVILLE,YBD,630,39.224,-121.268,NEVADA,YUBA R,
DEL VALLE,DLV,703,37.614,-121.745,ALAMEDA,ALAMEDA CR,
DEVILS POSTPILE,DPO,7569,37.62941,-119.08467,MADERA,SAN JOAQUIN R,
DIAMOND CROSSING,DMN,6050,39.112,-120.283,PLACER,AMERICAN R,
DIAMOND VALLEY,DMV,1756,33.67,-117.066,RIVERSIDE,SANTA MARGARITA R,
DODSONS MEADOW,DSM,8050,37.092,-118.958,FRESNO,KINGS R,
DON PEDRO RESERVOIR,DNP,830,37.702,-120.421,TUOLUMNE,TUOLUMNE R,
DONNELLS,DON,4835,38.329,-119.96,TUOLUMNE,STANISLAUS R,
DONNER LAKE (STORAGE),DNL,5938,39.324,-120.233,NEVADA,TRUCKEE R,
DONNER MEM ST PARK,DMS,5937,39.317,-120.233,NEVADA,TRUCKEE R,
DONNER SUMMIT,DNS,6900,39.31,-120.338,PLACER,YUBA R,
DOWNIEVILLE,DWV,2915,39.5667,-120.8333,SIERRA,YUBA R,
DOYLE,DYL,4240,40.033,-120.1,LASSEN,SUSAN R,
DRUM CANAL,DRM,4750,39.264,-120.73,PLACER,YUBA R,
DUNSMUIR TREATMENT PLANT,DNM,2170,41.2,-122.267,SISKIYOU,SACRAMENTO R,
DUTCH LAKE,DTL,9100,37.258,-118.997,FRESNO,SAN JOAQUIN R,
DWINNELL,DWN,2792,41.541,-122.376,SISKIYOU,SHASTA R,
DYNAMITE MEADOW,DYM,5700,41.233,-122.817,SISKIYOU,SCOTT R,
EAGLE CREEK,EGL,6700,35.983,-118.641,TULARE,TULE R,
EAGLE MEADOW,EGM,7500,38.288,-119.832,TUOLUMNE,STANISLAUS R,
EAST FK CARSON RIVER NR GARDNERVILLE,EFC,4985,38.847,-119.703,State of Nevada,CARSON R,
EAST PARK RESERVOIR,EPK,1205,39.367,-122.517,COLUSA,STONY CR,
EAST PIUTE PASS,EPP,10800,37.235,-118.687,INYO,OWENS R,
EAST WALKER RIVER NR BRIDGEPORT,EWR,6400,38.328,-119.214,MONO,WALKER R,
ECHO LAKE CONDUIT,ECH,7420,38.831,-120.037,EL DORADO,AMERICAN R,
ECHO PEAK 5,EP5,7800,38.849,-120.079,EL DORADO,LAKE TAHOE,
ECHO SUMMIT,ECS,7450,38.82852,-120.03898,EL DORADO,AMERICAN R,
EEL RIVER AT SCOTIA,ERS,36,40.492,-124.099,HUMBOLDT,EEL R,
EL CAPITAN DAM,ELC,600,32.882,-116.808,SAN DIEGO,SAN DIEGO R,
ELLERY LAKE,ELL,9600,37.938,-119.248,MONO,MONO LAKE,
ELLERY LAKE,ERY,9645,37.934967,-119.232201,MONO,MONO LAKE,
ELSINORE,ELS,1285,33.667,-117.333,RIVERSIDE,SANTA ANA R,
EMERALD LAKE,EML,10600,37.183,-118.762,FRESNO,SAN JOAQUIN R,
ENGLEBRIGHT (USACE),ENG,551,39.239,-121.267,NEVADA,YUBA R,
ENGLISH MOUNTAIN,ENM,7100,39.436,-120.525,NEVADA,YUBA R,
ETNA MOUNTAIN,ETN,5900,41.4,-123.001,SISKIYOU,SCOTT R,
EUREKA BOWL,ERB,6800,39.755,-120.72,PLUMAS,FEATHER R,
EUREKA LAKE,EUR,6200,39.762,-120.713,PLUMAS,FEATHER R,
EUREKA WOODLEY ISLAND,ERK,20,40.8,-124.167,HUMBOLDT,EEL R,
FAIRFIELD,FRF,40,38.267,-122.067,SOLANO,NAPA R,
FAIRMONT,FMT,3060,34.7,-118.433,LOS ANGELES,MOJAVE DESERT,
FAREWELL GAP,FRW,9500,36.415089,-118.578903,TULARE,KAWEAH R,
FEATHER DIVERSION FROM L TRUCKEE R,FTT,9999,39.5,-120.34,SIERRA,FEATHER R,
FEATHER RIVER AT OROVILLE,FTO,149,39.522,-121.547,BUTTE,FEATHER R,
FEATHER RIVER MEADOW,FEM,5400,40.355,-121.422,LASSEN,FEATHER R,
FEATHER RIVER NEAR NICOLAUS,NIC,43,38.889835,-121.604759,SUTTER,FEATHER R,
FIDDLETOWN,FDD,2160,38.533,-120.7,AMADOR,COSUMNES R,
FINDLEY PEAK,FNP,6500,39.47,-120.572,NEVADA,YUBA R,
FLORENCE LAKE,FLC,7200,37.277,-118.962,FRESNO,SAN JOAQUIN R,
FLORENCE LAKE (SCE),FLR,7325,37.267,-118.967,FRESNO,SAN JOAQUIN R,
FOLSOM DAM - FOLSOM POINT (DYKE 8),FLD,350,38.693054,-121.129723,SACRAMENTO,AMERICAN R,
FOLSOM LAKE,FOL,466,38.683,-121.183,SACRAMENTO,AMERICAN R,
FOLSOM SOUTH CANAL,FSC,132,38.65,-121.183,SACRAMENTO,AMERICAN R,
FORBESTOWN DITCH (OROV-WYAN CANAL),FBD,3166,39.55,-121.18,BUTTE,FEATHER R,
FORESTHILL R S,FRH,3015,39.017,-120.85,PLACER,AMERICAN R,
FORKED MEADOW CREEK,FKM,5800,37.034,-119.097,FRESNO,KINGS R,
FORT BIDWELL,FBW,4500,41.85,-120.133,MODOC,SURPRISE VALLEY,
FORT JONES RS,FJN,2725,41.6,-122.85,SISKIYOU,SCOTT R,
FORT ROSS,FRR,112,38.517,-123.25,SONOMA,RUSSIAN R,
FRED MEADOW,FDM,6950,37.023,-119.08,FRESNO,KINGS R,
FREDONYER PASS 3,FP3,5850,40.375,-120.872,LASSEN,FEATHER R,
FREEL BENCH,FBN,7300,38.85,-119.95,EL DORADO,LAKE TAHOE,
FRENCH LAKE,FRL,6664,39.44,-120.544,NEVADA,YUBA R,
FRENCH MEADOWS,FMD,5263,39.112,-120.468,PLACER,AMERICAN R,
FRENCHMAN COVE,FCV,5800,39.897,-120.265,PLUMAS,FEATHER R,
FRENCHMAN DAM,FRD,5517,39.883,-120.183,PLUMAS,FEATHER R,
FRESNO WB AIRPORT,FRO,328,36.767,-119.717,FRESNO,TULARE LAKE,
FRIANT DAM (MILLERTON),MIL,581,37.001,-119.705,FRESNO,SAN JOAQUIN R,
FRIANT GOVERNMENT CAMP,FGC,410,36.983,-119.717,FRESNO,SAN JOAQUIN R,
FURNACE FLAT,FNF,6700,39.355,-120.503,NEVADA,YUBA R,
GASQUET RANGER STATION,GAS,384,41.85,-123.967,DEL NORTE,SMITH R,
GEM LAKE,GLK,9054,37.752,-119.14,MONO,MONO LAKE,
GEM LAKE,GML,9150,37.752,-119.162,MONO,MONO LAKE,
GEM PASS,GEM,10750,37.78,-119.17,MONO,MONO LAKE,
GEORGETOWN RS (USFS),GRG,3001,38.933,-120.8,EL DORADO,AMERICAN R,
GERBER,GBR,9999,42.205,-121.13,SISKIYOU,KLAMATH R,
GIANELLI MEADOW,GNL,8400,38.204308,-119.893188,TUOLUMNE,STANISLAUS R,
GIANT FOREST,GFR,6400,36.57,-118.768,TULARE,KAWEAH R,
GIANT FOREST (USACE),GNF,6650,36.562,-118.765,TULARE,KAWEAH R,
GIBRALTAR DAM,GBL,1399,34.526,-119.686,SANTA BARBARA,SANTA YNEZ R,
