Station,ID,Elev (feet),Latitude,Longitude,County,River Basin,
PARADISE MEADOW,PDS,7650,38.047,-119.67,TUOLUMNE,TUOLUMNE R,
PARDEE,PAR,568,38.25,-120.85,CALAVERAS,MOKELUMNE R,
PARKS CREEK,PRK,6700,41.367,-122.55,SISKIYOU,SHASTA R,
PASCOES,PSC,9150,35.967,-118.35,TULARE,KERN R,
PEREGOY MEADOWS,PGM,7000,37.667,-119.625,MARIPOSA,MERCED R,
PERRIS,PRR,1600,33.858,-117.183,RIVERSIDE,SAN JACINTO R,
PHILLIPS,PHL,6800,38.818,-120.072,EL DORADO,AMERICAN R,
PILOT PEAK (DWR),PLP,6800,39.785892,-120.877777,PLUMAS,FEATHER R,
PINE FLAT DAM,PNF,970,36.833,-119.325,FRESNO,KINGS R,
PINECREST (PG&E),PCR,5600,38.2,-119.983,TUOLUMNE,STANISLAUS R,
PIONEER BASIN,PNB,10400,37.457,-118.795,FRESNO,SAN JOAQUIN R,
PIT #1 PH (PG&E),PR1,2880,41,-121.498,SHASTA,PIT R,
PIT R PH #6,PT6,32,40.842,-122.001,SHASTA,PIT R,
PIT R PH #7,PT7,1036,40.843,-122.015,SHASTA,PIT R,
PIT RIVER AT SHASTA LAKE,PSH,1036,40.843,-122.016,SHASTA,PIT R,
PIUTE PASS,PPS,11300,37.24,-118.687,FRESNO,SAN JOAQUIN R,
PLACERVILLE,PCV,1850,38.7,-120.82,EL DORADO,AMERICAN R,
PLASKETT MEADOWS,PSM,6000,39.725,-122.85,GLENN,EEL R,
PLUMAS EUREKA PARK,PLE,5165,39.75778,-120.69593,PLUMAS,FEATHER R,
PODESTA,PDT,7200,38.605,-120.228,EL DORADO,MOKELUMNE R,
POISON MEADOW,PMD,6800,37.397,-119.518,MADERA,SAN JOAQUIN R,
PORTOLA,PRT,4850,39.8,-120.467,PLUMAS,FEATHER R,
POST CORRAL MEADOW,PRM,8200,37.122,-118.895,FRESNO,KINGS R,
POTTER VALLEY PH,PVP,1020,39.367,-123.133,MENDOCINO,RUSSIAN R,
PRIEST VALLEY,PSV,2300,36.183,-120.7,MONTEREY,SALINAS R,
PROSSER CREEK RESERVOIR,PRS,5622,39.3794,-120.1367,NEVADA,TRUCKEE R,
PYRAMID,PYM,2606,34.644153,-118.764528,LOS ANGELES,U SANTA CLARA R,
QUAKING ASPEN,QKA,7000,36.122,-118.545,TULARE,TULE R,
QUINCY RADIO STATION,QRD,3420,39.9366,-120.9475,PLUMAS,FEATHER R,
QUINCY RS (USFS),QNC,3420,39.96,-120.95,PLUMAS,FEATHER R,
QUINN RANGER STATION,QRS,8350,36.328,-118.573,TULARE,KERN R,
RAFFERTY MEADOWS,RFM,9400,37.837,-119.325,TUOLUMNE,TUOLUMNE R,
RAILROAD CANYON,RLC,1398,33.675,-117.272,RIVERSIDE,SANTA ANA R,
RAMSHAW MEADOWS,RMM,8700,36.352,-118.265,TULARE,KERN R,
RATTLESNAKE CREEK BA,RTT,9900,36.982,-118.72,FRESNO,KINGS R,
RED BLUFF,RBF,353,40.152,-122.254,TEHAMA,SACTO VLY WEST,
RED MOUNTAIN,RDM,7200,39.343,-120.508,NEVADA,YUBA R,
RED ROCK MOUNTAIN,RRM,6700,41.023,-122.885,TRINITY,TRINITY R,
REDINGER LAKE,RDN,1403,37.145,-119.449,MADERA,SAN JOAQUIN R,
RELIEF,RLF,7220,38.267,-119.733,TUOLUMNE,STANISLAUS R,
RELIEF DAM,RLD,7250,38.28,-119.73,TUOLUMNE,STANISLAUS R,
RICHARDSONS 2,RCH,6500,38.917,-120.05,EL DORADO,LAKE TAHOE,
RIDGE TRAIL,RGT,7500,36.7513,-118.9478,FRESNO,KINGS R,
ROBBS VALLEY,RBV,5600,38.922,-120.38,EL DORADO,AMERICAN R,
ROBINSON COW CAMP SNOW COURSE,RCW,6480,39.6219,-120.681,SIERRA,YUBA R,
ROCK CREEK,RCR,9600,36.497,-118.333,TULARE,KERN R,
ROCK CREEK 1,RC1,8700,37.492,-118.717,MONO,OWENS R,
ROCK CREEK 2,RC2,9050,37.473,-118.717,MONO,OWENS R,
ROCK CREEK 3,RC3,10000,37.45,-118.742,INYO,OWENS R,
ROGERS CAMP,RGC,6200,36.108,-118.637,TULARE,TULE R,
ROLLINS,RLL,2176,39.135,-120.948,PLACER,BEAR R,
ROSE MARIE,RMR,10000,37.32,-118.872,FRESNO,SAN JOAQUIN R,
ROUND CORRAL,RDC,9000,36.993,-118.902,FRESNO,KINGS R,
ROUND MEADOW,RMD,9000,35.965,-118.36,TULARE,KERN R,
ROWELL MEADOW,RWM,8850,36.717,-118.737,TULARE,KINGS R,
ROWLAND CREEK,RWL,6700,40.013,-120.293,PLUMAS,FEATHER R,
RUBICON PEAK 1,RP1,8100,38.992,-120.142,EL DORADO,LAKE TAHOE,
RUBICON PEAK 2,RP2,7500,39.001,-120.14,EL DORADO,LAKE TAHOE,
RUSSIAN R NR HEALDSBERG,RRH,77,38.613,-122.835,SONOMA,RUSSIAN R,
RUSSIAN RIVER NEAR HEALDSBURG,HEA,108,38.613243,-122.83638,SONOMA,RUSSIAN R,
RUTH DAM,RTD,2675,40.367,-123.433,TRINITY,MAD R,
SAC REGIONAL WASTEWATER TREATMENT PLANT,SPE,0,38.441,-121.502,SACRAMENTO,SACRAMENTO R,
SACHSE SPRINGS 2,SA2,7900,38.085,-119.837,TUOLUMNE,TUOLUMNE R,
SACRAMENTO R AT DELTA,SDT,1075,40.94,-122.416,SHASTA,SACRAMENTO R,
SACRAMENTO RIVER ABV BEND BRIDGE,SBB,186,40.289,-122.186,TEHAMA,SACTO VLY NE,
SACRAMENTO WB CITY,SCR,25,38.583,-121.5,SACRAMENTO,SACTO VLY WEST,
SACTO INFLOW-SHASTA,SIS,2800,40.718,-122.42,SISKIYOU,PIT R,
SADDLEBAG LAKE,SDL,9750,37.957,-119.267,MONO,MONO LAKE,
SADDLEBAG LAKE RESERVOIR,SDB,10090,37.966,-119.272,MONO,MONO LAKE,
SAGEHEN CREEK,SGH,6337,39.433,-120.233,NEVADA,TRUCKEE R,
SALINAS NO2,SAP,45,36.667,-121.667,MONTEREY,SALINAS R,
SALINAS RIVER AT PASO ROBLES,PAS,700,35.628582,-120.684334,SAN LUIS OBISPO,SALINAS R,
SALMON R AT SOMES BAR,SRS,483,41.378,-123.476,SISKIYOU,SALMON R,
SALT SPRINGS,SLS,3700,38.497,-120.216,AMADOR,MOKELUMNE R,
SALT SPRINGS PH (PG&E),SSR,3700,38.498,-120.219,CALAVERAS,MOKELUMNE R,
SAN ANDREAS,SNN,456,37.578,-122.412,SAN MATEO,SF BAY,
SAN ANTONIO RESERVOIR,SAT,468,37.573,-121.848,ALAMEDA,ALAMEDA CR,
SAN DIEGO NWS-LINDBERGH FIELD,SDG,13,32.733,-117.167,SAN DIEGO,SAN DIEGO R,
SAN FRANCISCO WB AP,SFF,8,37.617,-122.383,SAN MATEO,SF BAY,
SAN GABRIEL,SGB,1481,34.207,-117.858,LOS ANGELES,SAN GABRIEL R,
SAN JOAQUIN 5-STATION PRECIP INDEX,5SI,0,37.74,-119.583,none specified,SAN JOAQUIN R,
SAN JOAQUIN RIVER BELOW FRIANT,SJF,294,36.984394,-119.724312,FRESNO,SAN JOAQUIN R,
SAN LUIS OBISPO POLY,SLO,315,35.3,-120.667,SAN LUIS OBISPO,SAN LUIS OBISPO CREEK,
SAN LUIS RESERVOIR,SNL,543,37.033,-121.133,MERCED,SAN LUIS CR,
SAN LUIS RESERVOIR (FEDERAL),SLF,543,37.001,-121.002,MERCED,SAN JOAQUIN VLY WEST,
SAN LUIS RESERVOIR (STATE),LUS,543,37.001,-121.002,MERCED,SAN JOAQUIN VLY WEST,
SAN PABLO,SPB,330,37.9423,-122.2587,CONTRA COSTA,SF BAY,
SAN VICENTE,SVT,560,32.912,-116.924,SAN DIEGO,SAN DIEGO R,
SAND FLAT (COURSE),SFT,6800,41.353,-122.247,SISKIYOU,SACRAMENTO R,
SANDY MEADOWS,SDM,10650,36.572,-118.367,TULARE,KERN R,
SANTA ANA FIRE STA,ANA,135,33.75,-117.867,ORANGE,SANTA ANA R,
SANTA ANA R NR MENTONE,ANM,1950,34.108,-117.1,SAN BERNARDINO,SANTA ANA R,
SANTA BARBARA SANITATION,SBR,5,34.417,-119.75,SANTA BARBARA,S BARBARA COAST,
SANTA CRUZ,CRZ,130,36.983,-122.017,SANTA CRUZ,SAN LORENZO R,
SANTA MARGARITA LAKE,SLN,1325,35.333,-120.502,SAN LUIS OBISPO,SALINAS R,
SANTA ROSA,SRO,109,38.445,-122.753,SONOMA,RUSSIAN R,
SANTIAGO CREEK RES (IRVINE LAKE),SGC,810,33.785,-117.723,ORANGE,SANTA ANA R,
SAPPS HOLLOW,SHW,6950,38.412,-120.028,TUOLUMNE,STANISLAUS R,
SARDINE FLAT,SRF,5800,39.622,-120.612,SIERRA,YUBA R,
SAWMILL,SWM,10200,37.16196,-118.56259,INYO,OWENS R,
SAWMILL RIDGE,SWL,8750,38.183,-119.35,none specified,WALKER R,
SCENIC MEADOW,SCE,9650,36.685,-118.597,TULARE,KINGS R,
SCOTIA,SCA,139,40.483,-124.1,HUMBOLDT,EEL R,
SCOTT RIVER NEAR FORT JONES,SFJ,2623,41.64069,-123.015038,SISKIYOU,KLAMATH R,
SCOTTS FLAT,SFL,3085,39.274,-120.917,NEVADA,YUBA R,
SESPE CREEK NR FILLMORE,SSP,565,34.441662,-118.927322,VENTURA,SANTA CLARA R,
SEVEN OAKS DAM,SVO,2610,34.1178,-117.0978,SAN BERNARDINO,SANTA ANA R,
SHASTA DAM (USBR),SHA,1067,40.718,-122.42,SHASTA,SACRAMENTO R,
SHASTA DAM (OBS),SHO,1075,40.717,-122.417,SHASTA,SACRAMENTO R,
SHAVER LAKE,SHV,5370,37.145,-119.302,FRESNO,SAN JOAQUIN R,
SHIMMY LAKE,SHM,6400,41.008,-122.8,TRINITY,TRINITY R,
SIBERIAN PASS,SIB,10900,36.473,-118.267,TULARE,KERN R,
SIERRAVILLE RS (USFS),SRR,4975,39.583,-120.367,SIERRA,FEATHER R,
SILVER LAKE,SIL,7100,38.678,-120.118,EL DORADO,AMERICAN R,
SILVER LAKE MEADOWS,SVR,6450,40.497,-121.153,LASSEN,SUSAN R,
SILVER LAKE RESERVOIR,SIV,7134,38.669,-120.121,AMADOR,AMERICAN R,
SKINNER,SKN,1479,33.583,-117.122,RIVERSIDE,SAN DIEGO R,
SLAB CREEK,SLB,1850,38.7725,-120.6994,EL DORADO,AMERICAN R,
SLATE CREEK,SLT,5700,41.045,-122.478,SHASTA,SACRAMENTO R,
SLATE CREEK TUNNEL,SLA,9999,39.616,-121.051,PLUMAS,YUBA R,
SLY CREEK,SLC,3536,39.584,-121.116,BUTTE,FEATHER R,
SLY PARK,SLP,3530,38.718,-120.563,EL DORADO,COSUMNES R,
SNOW FLAT,SNF,8700,37.827,-119.497,MARIPOSA,MERCED R,
SNOW MOUNTAIN,SMT,6050,40.767,-121.783,SHASTA,PIT R,
SODA CREEK FLAT,SCF,7800,38.27,-119.678,TUOLUMNE,STANISLAUS R,
SODA SPRINGS 1 E,SSG,6885,39.317,-120.367,NEVADA,YUBA R,
SONORA PASS,SRP,8750,38.313,-119.607,MONO,WALKER R,
SONORA RS,SOR,1749,37.983,-120.383,TUOLUMNE,TUOLUMNE R,
SOULAJULE DAM,SLJ,344,38.153,-122.782,MARIN,COAST-MARIN,
SOUTH CANAL FROM BEAR RIVER,BEV,1980,39.133,-120.953,PLACER,BEAR R,
SOUTH ENTRANCE YOSEMITE,SEY,5120,37.5,-119.633,MARIPOSA,MERCED R,
SOUTH LAKE,SLK,9600,37.175903,-118.56266,INYO,OWENS R,
SOUTH SAN JOAQUIN CANAL,SSJ,334,37.854,-120.637,AMADOR,CALAVERAS R,
SOUTH YUBA CANAL YB-31,Y31,9999,39.291897,-120.730219,NEVADA,YUBA R,
SOUTH YUBA CANAL YB-34,Y34,9999,39.290003,-120.732622,NEVADA,YUBA R,
SPICER MEADOWS,SPM,6516,38.393,-119.998,TUOLUMNE,STANISLAUS R,
SPOTTED FAWN,SPF,7800,38.092,-119.758,TUOLUMNE,TUOLUMNE R,
SPRING GAP FOREBAY (PG&E),SFB,5100,38.172,-120.103,CALAVERAS,STANISLAUS R,
SPRINGVILLE TULE POWERPLANT,SGV,4070,36.1631,-118.7072,TULARE,TULE R,
SQUAW VALLEY 2,SQ2,7700,39.188,-120.248,PLACER,TRUCKEE R,
STAMPEDE,STP,5956,39.471,-120.103,SIERRA,TRUCKEE R,
STANDISH HICKEY PARK,SNH,850,39.883,-123.733,MENDOCINO,EEL R,
STANISLAUS MEADOW,SLM,7750,38.5055,-119.9373,ALPINE,STANISLAUS R,
STANISLAUS R-GOODWIN,SNS,252,37.852,-120.637,CALAVERAS,STANISLAUS R,
STATUM MEADOW,SMD,8300,36.943,-118.913,FRESNO,KINGS R,
STOCKTON EAST TUNNEL,SET,252,37.852,-120.637,CALAVERAS,STANISLAUS R,
STOCKTON FIRE STATION 4,STK,12,38.001,-121.317,SAN JOAQUIN,SAN JOAQUIN FLOOR,
STONY GORGE RESERVOIR,STG,800,39.583,-122.533,GLENN,STONY CR,
STOUTS MEADOW,STM,5400,41.17,-121.938,SHASTA,MC CLOUD R,
STRAWBERRY,SWB,5620,38.2,-119.983,TUOLUMNE,STANISLAUS R,
STRAWBERRY VALLEY,STV,3808,39.567,-121.1,YUBA,FEATHER R,
STUMPY MEADOWS RESERVOIR(MARK EDSON DAM),EDN,4272,38.903,-120.603,EL DORADO,AMERICAN R,
SUCCESS DAM,SCC,692,36.061,-118.922,TULARE,TULE R,
SUNNYSIDE MEADOW,SSM,6300,39.697,-120.78,SIERRA,YUBA R,
SUSANVILLE,SSN,4148,40.367,-120.567,LASSEN,SUSAN R,
SUTHERLAND RESERVOIR,STD,2074,33.118,-116.787,SAN DIEGO,SAN DIEGUITO R,
SWAMPY JOHN,SWJ,5500,41.397,-122.993,SISKIYOU,SCOTT R,
SWEETWATER,SWT,5850,41.38197,-122.53529,SISKIYOU,SHASTA R,
SWEETWATER RESERVOIR,SW3,252,32.692,-117.007,SAN DIEGO,SWEETWATER R,
TAHOE CITY (NWS),TAC,6230,39.167,-120.133,PLACER,LAKE TAHOE,
TALBOT CAMP,TBC,5750,39.193,-120.377,PLACER,AMERICAN R,
TAMARACK CREEK,TMK,7250,37.178,-119.205,FRESNO,SAN JOAQUIN R,
TAMARACK FLAT,TMF,6550,38.803,-120.103,EL DORADO,AMERICAN R,
TENAYA LAKE,TNY,8150,37.838,-119.448,MARIPOSA,MERCED R,
TERMINUS DAM,TRM,752,36.415,-119.002,TULARE,KAWEAH R,
THERMALITO TOTAL,TMT,140,39.458,-121.638,BUTTE,FEATHER R,
THERMALITO AFTERBAY,TAB,140,39.45,-121.633,BUTTE,FEATHER R,
THERMALITO DIVERS POOL,THD,230,39.528,-121.543,BUTTE,FEATHER R,
THERMALITO FOREBAY,TFR,230,39.519,-121.629,BUTTE,FEATHER R,
THOMAS A EDISON,TAE,7642,37.37,-118.987,FRESNO,SAN JOAQUIN R,
THOUSAND LAKES,THL,6500,40.71,-121.577,SHASTA,PIT R,
THREE LAKES,3LK,6250,39.973,-121.213,PLUMAS,FEATHER R,
THREE RIVERS PH NO 1,3RV,1140,36.467,-118.867,TULARE,KAWEAH R,
TIGER CREEK POWERHOUSE,TCP,2360,38.45,-120.483,CALAVERAS,MOKELUMNE R,
TINEMAHA RESERVOIR,TNM,3882,37.058,-118.225,INYO,OWENS R,
TIOGA PASS,TGP,9800,37.917,-119.253,MONO,MONO LAKE,
TRACY CARBONA,TCR,140,37.7,-121.433,SAN JOAQUIN,SAN JOAQUIN FLOOR,
TRAGEDY CREEK,TRG,8150,38.63,-120.145,AMADOR,MOKELUMNE R,
TRAILHEAD,TRL,9100,36.337,-118.155,INYO,OWENS R,
TRINITY LAKE,CLE,2370,40.801,-122.762,TRINITY,TRINITY R,
TRINITY R AT LEWISTON,TNL,1816,40.719,-122.802,TRINITY,TRINITY R,
TRUCKEE RIVER AT FARAD,TRF,5153,39.428,-120.033,NEVADA,LAKE TAHOE,
TRUCKEE RIVER AT TAHOE,TKT,6217,39.164,-120.143,PLACER,LAKE TAHOE,
TRUCKEE RS (OBS),TKE,6020,39.333,-120.183,NEVADA,TRUCKEE R,
TULARE PRECIPITATION INDEX,6SI,0,36.288,-118.702,TULARE,TULARE LAKE,
TULLOCH,TUL,515,37.875,-120.603,CALAVERAS,STANISLAUS R,
TUOLUMNE CANAL NEAR LONG BARN,STU,4110,38.093,-120.167,TUOLUMNE,STANISLAUS R,
TUOLUMNE MEADOWS,TUM,8600,37.873,-119.35,TUOLUMNE,TUOLUMNE R,
TUOLUMNE R-LA GRANGE DAM,TLG,170,37.666,-120.441,STANISLAUS,TUOLUMNE R,
TURLOCK LAKE,TLC,244,37.6,-120.583,STANISLAUS,TUOLUMNE R,
TWENTYNINE PALMS,29P,1975,34.127,-116.037,SAN BERNARDINO,COLORADO R,
TYNDALL CREEK,TND,10650,36.632,-118.392,TULARE,KERN R,
U SAN LEANDRO,USL,477,37.7644,-122.1016,ALAMEDA,ALAMEDA CR,
UKIAH,UKH,633,39.15,-123.2,MENDOCINO,RUSSIAN R,
UNION VALLEY,UNV,4870,38.864,-120.438,EL DORADO,AMERICAN R,
UPPER BURNT CORRAL,UBC,9700,37.1833,-118.93829,FRESNO,KINGS R,
UPPER CARSON PASS,UCP,8500,38.695,-119.983,ALPINE,AMERICAN R,
UPPER KIBBIE RIDGE,UKR,6700,38.043,-119.887,TUOLUMNE,TUOLUMNE R,
UPPER KLAMATH,KLM,4097,42.25,-121.815,SISKIYOU,KLAMATH R,
UPPER TRUCKEE,UTR,6400,38.873,-119.983,EL DORADO,LAKE TAHOE,
UPPER WOODCHUCK MEADOW,UWD,9100,37.038,-118.903,FRESNO,KINGS R,
VAIL LAKE,VIL,1470,33.496,-116.976,RIVERSIDE,SANTA MARGARITA R,
VERNON LAKE,VNN,6700,38.017,-119.717,TUOLUMNE,TUOLUMNE R,
VINTON,VNT,4944,39.8,-120.183,PLUMAS,FEATHER R,
VIRGINIA LAKES,VGL,9400,38.057,-119.247,MONO,WALKER R,
VIRGINIA LAKES RIDGE,VRG,9300,38.077,-119.234,MONO,WALKER R,
VISALIA,VSL,325,36.333,-119.3,TULARE,TULARE LAKE,
VOLCANIC KNOB,VLC,10050,37.388,-118.903,FRESNO,SAN JOAQUIN R,
WABENA MEADOWS,WBM,6300,39.227,-120.402,PLACER,AMERICAN R,
WARD CREEK 2,WR2,7000,39.142,-120.225,PLACER,LAKE TAHOE,
WARM SPRINGS (USACE),WRS,440,38.723,-123.01,SONOMA,RUSSIAN R,
WARNER CREEK,WRN,5100,40.387,-121.31,LASSEN,FEATHER R,
WASCO,WSC,345,35.6,-119.333,KERN,TULARE LAKE,
WATSONVILLE WATER,WTW,95,36.933,-121.767,SANTA CRUZ,PAJARO R,
WEAVERVILLE RS,WVR,2050,40.733,-122.95,TRINITY,TRINITY R,
WEBBER LAKE,WBB,7000,39.485,-120.425,SIERRA,TRUCKEE R,
WEBBER PEAK,WPK,7800,39.483,-120.44,SIERRA,YUBA R,
WEST FORK CARSON RIVER AT WOODFORDS,WFC,5755,38.769,-119.832,ALPINE,CARSON R,
WEST POINT,WPT,2775,38.377,-120.545,CALAVERAS,MOKELUMNE R,
WEST WALKER RIVER NR COLEVILLE,WWR,6591,38.378,-119.449,MONO,WALKER R,
WHALAN,WHN,5400,41.15,-122.45,TRINITY,TRINITY R,
WHALE ROCK,WHR,233,35.45,-120.883,SAN LUIS OBISPO,SALINAS R,
WHEELER LAKE,WHE,7800,38.518,-119.985,ALPINE,MOKELUMNE R,
WHISKEYTOWN DAM (OBSERVER),WHK,1220,40.6,-122.55,SHASTA,SACRAMENTO R,
WHISKEYTOWN DAM (USBR),WHI,1210,40.598,-122.537,SHASTA,SACRAMENTO R,
WILLOW FLAT,WLF,8250,38.275,-119.45,MONO,WALKER R,
WILMA LAKE,WLW,8000,38.083,-119.633,TUOLUMNE,TUOLUMNE R,
WISHON,WSN,6560,37.005,-118.969,FRESNO,KINGS R,
WISHON DAM (PG&E),WSD,6550,37.003,-118.986,FRESNO,KINGS R,
WOLFORD CABIN,WLC,6150,41.2,-122.833,TRINITY,TRINITY R,
WOODCHUCK MEADOW,WDH,8800,37.025,-118.908,FRESNO,KINGS R,
WOODLAND 1 WNW,WDL,69,38.683,-121.8,YOLO,SACTO VLY WEST,
WRIGHTS LAKE,WRG,6900,38.847,-120.233,EL DORADO,AMERICAN R,
YOSEMITE HEADQUARTERS,YSV,3966,37.74,-119.583,MARIPOSA,MERCED R,
YREKA,YRK,2625,41.7,-122.633,SISKIYOU,KLAMATH R,
YUBA PASS,YBP,6700,39.617,-120.492,SIERRA,YUBA R,
YUBA RIVER NEAR SMARTVILLE,YRS,280,39.235172,-121.274124,YUBA,YUBA R,